Word,Count
/,133
=,69
-,30
to,27
the,27
<summary>,24
</summary>,24
2,17
1,17
0,16
is,13
a,12
of,12
in,11
fractal,10
file,10
and,10
\Count,\,10
variables,9
Fixed,9
border,8
with,8
Random,8
properties,8
window,7
new,7
if,7
node,7
are,6
save,6
algorithm,6
from,6
method,6
do,6
range,6
check,6
KeyFile,6
The,6
number,6
size,6
array,5
an,5
Get,5
清除任何使用中的資源。,5
+,5
then,5
這個方法的內容。,5
請勿使用程式碼編輯器修改,5
I,5
Form,5
Search,5
map,5
data,5
Windows,5
此為設計工具支援所必須的方法,5
nodes,5
Output,5
(*),5
2D,5
real,4
arrays,4
bitmap,4
},4
{,4
j,4
FormSearchResults,4
create,4
<,4
case,4
search,4
Fractal,4
Initialize,4
的摘要描述。,4
Save,4
name,4
Calculate,4
matching,4
\1,\,4
New,4
time,4
Queue,4
Window,4
設計工具支援的必要項,4
,3
text,3
we,3
FormDebug,3
first,3
pattern,3
textBoxTime.Text,3
format,3
managed,3
FormDisplay,3
Regex,3
current,3
bigger,3
when,3
one,3
for,3
motion,3
results,3
end,3
pixel,3
Current,3
Spectral,3
Brownian,3
values,3
Synthesis,3
good,3
KeyName,3
4way,3
progress,3
Set,3
image,3
calculate,3
more,3
output,3
only,3
FormControl,3
Display,3
*,3
\Yes,\,3
axis,3
manipulation,3
MapGenerator,3
Find,3
random,3
Show,3
Priority,3
No,3
DepthFirstSearch,3
process,3
8way,3
unmanaged,3
\Search,\,3
(double)(_task.TotalTime,2
lastEntry,2
DateTime.Now.Ticks),2
after,2
entry,2
parent,2
points,2
lattice,2
Label_Found,2
relative,2
can,2
threading,2
\String.Format("\Timing:\,2
count,2
closing,2
files,2
\range,\,2
input,2
largest,2
Gaussian,2
文件。,2
have,2
not,2
(or,2
4,2
\Seconds"\,\,2
pick,2
lower,2
Microsoft,2
polygons,2
H,2
\None,\,2
last,2
rule,2
break;,2
plan,2
underscore,2
target,2
value,2
-max,2
copy,2
i,2
Array,2
UI,2
else,2
color,2
string,2
pixels,2
PriorityQueue,2
domain,2
same,2
CSP,2
postfix,2
Check,2
pathAlgorithm,2
_byteMap,2
Image,2
box,2
DepthFirst,2
added,2
+j,2
Generation,2
run,2
Random(unchecked((int)DateTime.Now.Ticks));,2
+max,2
position,2
\fillRate,\,2
ProgressBar_Total,2
button,2
matrix,2
PathSearcherInput,2
fill,2
(int,2
used,2
pass,2
down,2
byte,2
Jump,2
\way,\,2
Disable,2
noise,2
between,2
once,2
Fourier,2
{0:0.0},2
Number,2
\array,\,2
default,2
title,2
Build,2
\Search"\;\,2
place,2
at,2
width,2
Private,2
rand,2
\"\);\,2
this,2
.NET,2
absolute,2
timer,2
\algorithm,\,2
child,2
RNG,2
set,2
class,2
This,2
synthesis,2
as,2
two,2
times,2
height,2
TimeSpan.TicksPerSecond);,2
Label_Time,2
Label_Analyzing,2
landscape,2
way,2
\Window,\,2
-j,2
8,2
0;,2
buttonResetSearch,2
smallest,2
textBoxOutput,2
path,2
iterative,2
Framework,2
task,2
groupBox1,2
Generates,2
Mark,2
using,2
textBoxWidth,1
Construct,1
Loop,1
_task.Results[_taskInput.OuterIterations,1
'*',1
understanding,1
Integer,1
如果同時指定了,1
主要版本,1
batch,1
on,1
associated,1
2),1
\N(0,\,1
every,1
textBoxFill,1
labelWidth,1
without,1
0.2,1
thus,1
textBoxFileNamePrefix,1
\Console.Write("\0\,1
Fast,1
Spectrally,1
\"\Priority\,1
fBM,1
remembering,1
Stop,1
Handler,1
\prefix+"\0000"\\,1
i++),1
dimensions,1
heightMap,1
taskInput.ThreadNum,1
called,1
generates,1
amplitude,1
組建編號,1
multithreading,1
whole,1
labelPassColor,1
compared,1
heightfield,1
begin,1
這個Node的值,1
labelPercent,1
my,1
指定,1
--,1
Start,1
images,1
Each,1
應用程式的主進入點。,1
perform,1
generate,1
1),1
fBm,1
settings,1
transformed,1
(FFT),1
reset,1
0.8f,1
formDirectX.Location,1
Unlock,1
controlled,1
formDebug,1
grows,1
find,1
increased,1
textBoxHeight,1
Variables,1
gen,1
destroy,1
imaginary,1
108,1
labelAutoSave,1
Improve,1
Saupe,1
.csv,1
void,1
checkBoxSaveProgress,1
0.3a,1
iterations,1
labelThreads,1
childs,1
BitmapData,1
\Then,\,1
up,1
takes,1
generally,1
out,1
labelAlgorithm,1
例如，如果您的,1
original,1
KeyName，就會使用此金鑰。,1
labelH,1
Progress,1
support,1
automatically,1
mainMenu1,1
aray,1
dealing,1
textBoxInnerLoop,1
groupBoxMap,1
p.294,1
D,1
SpectralSynthesisFM2D,1
</TODO>,1
unsafe,1
comboBoxAutoSave,1
(FFTW,1
complex,1
numbers,1
0.8a,1
Filter,1
windows,1
\obstacle,\,1
請使用下列屬性來控制哪個金鑰要用來簽名。,1
that,1
(2),1
labelBorder,1
1].Total.ToString();,1
ImageFile,1
中可以找到,1
ThreadNum,1
是位於專案目錄中，便應該將,1
\Dew.Math,\,1
textBox1,1
textBoxFound,1
120dpi,1
formDebug.MdiParent,1
\"\%"\\,1
fileNamePrefix,1
中並加以使用。,1
\MessageBox.Show("\Thread\,1
synthesised,1
progressBar,1
because,1
\Furthermore,\,1
cell,1
dimension,1
Percentage,1
j++),1
working,1
中的金鑰。,1
interface,1
_mapInput.Height;,1
Enable,1
top,1
under,1
textBoxCellSize,1
nodes),1
created,1
0.8e,1
define,1
intensive,1
0.8d,1
binary,1
exponent),1
1D,1
matches,1
(black,1
index,1
(1,1
卻存在，就會將,1
fftwlib,1
colorPickerPass,1
radioButtonDepthFirstSearch,1
Tweaked,1
menuItem2,1
\"\Message"\,\,1
Code,1
Transform,1
Path,1
(_pathInput.SearchAlgorithm),1
groupBoxRunSearch,1
mainMenu,1
Reenabled,1
page,1
\"\Start"\;\,1
nodes)(0,1
\2/e'',\,1
cells,1
labelObstacleColor,1
如需詳細資訊，請參閱,1
p.293,1
heightfields,1
sn.exe,1
MessageBoxIcon.Exclamation);,1
的值，將會發生下列的處理程序:,1
threads,1
設計工具支援的必要項\,1
<ChangeLog>,1
modifications,1
labelImages,1
\"\Time:\,1
注意:,1
look,1
\arrays,\,1
inverse,1
\Console.Write("\1\,1
==,1
textBoxOuterLoop,1
sometimes,1
memery,1
\"\Fixed\,1
textBoxBorder,1
properly,1
Calculated,1
一般的組件資訊是由下列這組屬性所控制。,1
space),1
can't,1
generation,1
0.3b,1
MUCH,1
assigned,1
C++,1
\iteration,\,1
\AssemblyKeyFile("\..\\..\\mykey.snk"\)]\,1
capitalized,1
\Finished"\,\,1
屬性指定為,1
的位置應該相對於專案輸出目錄，亦即,1
textBoxAnalyzing.Text,1
known,1
Bitmap,1
Direct3D,1
Directory%\obj\<configuration>。,1
given,1
\(_nodeMap[i,\,1
library,1
buttonStart.Text,1
colorDialog,1
Recipes,1
產生一個亂數與Fill比較,1
將修訂和組建編號,1
Point(this.Location.X,1
在,1
iteration,1
_width,1
設計工具所需的變數。,1
Use,1
but,1
according,1
groupBoxSearchAlgorithm,1
fillRate,1
colorPickerBorder,1
don't,1
k,1
n*2,1
those,1
least,1
groupBoxGenerate,1
fBM),1
strRunTime;,1
colorPickerObstacle,1
</ChangeLog>,1
(using,1
中的金鑰,1
As,1
DropDownLists,1
InitializeComponent,1
和,1
次要版本,1
\"\\,1
Public,1
是指含有金鑰的檔案。,1
point),1
frequency,1
FormDebug();,1
labelJump,1
this.Size.Width,1
Convert,1
formDirectX,1
若要建立,1
(強式名稱),1
Execute,1
start,1
2:,1
textBoxJump,1
KeyFile，您可以使用,1
max,1
better,1
realistic,1
pass),1
是否為結束Node,1
world,1
starting,1
will,1
returns,1
provides,1
Hurst,1
multithread,1
j].Value),1
instead,1
Generator,1
initialize,1
timerUpdateDisplay,1
_byteToColor,1
Recompiled,1
\methodology,\,1
_fillAlgorithm:,1
Uniform,1
panal,1
安裝到,1
<Features>,1
ref,1
FormDirectX();,1
update,1
*/,1
Abort,1
rendered,1
Caculate,1
bits,1
conversion,1
public,1
convenient,1
labelHeight,1
so,1
comboBoxDisplayImage,1
non,1
延遲簽名是一個進階選項,1
this.Location.Y);,1
指定為預設值:,1
free,1
specified,1
left,1
Euclidean,1
Removed,1
displacement,1
(CSP),1
clean,1
\Count"\\,1
1;,1
\"\Depth\,1
呼叫之後加入任何建構函式程式碼,1
row,1
pointer,1
or,1
options,1
textBoxTime,1
//,1
Run,1
formDebug.Show();,1
filename,1
>,1
``Numerical,1
Input,1
&,1
control,1
First,1
primary,1
estimated,1
by,1
crashes,1
build,1
much,1
Option,1
labelInnerLoop,1
_mapInput.Width;,1
cannot,1
For,1
組件的版本資訊由下列四個值所組成:,1
fractional,1
phase,1
display,1
labelBorderColor,1
State,1
FormDirectX,1
Multithreaded,1
(mapInput.FillAlgorithm,1
0.3,1
%Project,1
render,1
numbers),1
limitation),1
是指已安裝在電腦上密碼編譯服務提供者,1
limit,1
toolTip1,1
kth,1
switch,1
groupBoxSearchPath,1
menuItemWindow,1
this;,1
button1,1
positions,1
prefix,1
Remembers,1
both,1
done,1
有沒有被走過,1
Map,1
如果在,1
如果,1
delete,1
ammount,1
assign,1
all,1
若要簽名組件，您必須指定所要使用的金鑰。,1
</Features>,1
修訂,1
pictureBox,1
heap,1
\exists,\,1
aligned,1
midpoint,1
(complex,1
textBoxThreads,1
0.8,1
radioButton4Way,1
remove,1
textBoxH,1
buttonRunSearch,1
textBoxImages,1
\map,\,1
Print_nodeMap(),1
公用程式。,1
moves,1
\15,\,1
AVG,1
gif,1
(at,1
Added,1
255,1
auto,1
unfinished,1
變更這些屬性的值即可修改組件的相關資訊。,1
radioButtonPriorityQueue,1
0.8b,1
AssemblyKeyFile,1
saveFileDialog,1
possible,1
controls,1
menuItem1,1
不存在而,1
labelFileNamePrefix,1
Outputs,1
terrain,1
buttonGenerate,1
square,1
\Console.Write("\\n"\);\,1
Write,1
FFTW,1
them,1
~,1
SearchTaskInput,1
iterate,1
Record,1
InnerList[index],1
variable,1
expected,1
formDirectX.Show();,1
(1),1
roughness,1
labelOuterLoop,1
maps,1
second,1
(random),1
groupBoxSearchType,1
execute,1
FormMapGen,1
\MessageBoxButtons.OK,\,1
changed,1
User,1
computationally,1
Peitgen,1
through,1
textBoxTime.Refresh();,1
use,1
via,1
faster,1
labelCellSize,1
STDEV,1
IFFT,1
groupBoxResults,1
0.8c,1
item,1
Generate,1
active,1
reorganized,1
如需組件簽名的詳細資訊，請參閱,1
running,1
radioButton8Way,1
comboBoxFillAlgorithm,1
labelDisplayWindow,1
labelFill,1
<TODO>,1
時，KeyFile,1
ImageGenerator,1
right,1
checkBoxDisplayImage,1
您可以自行指定所有的值，也可以依照以下的方式，使用,1
capacity,1
spectral,1
textBoxAnalyzing,1
Once,1
Returns,1
如果沒有指定金鑰，將不會簽名組件。,1
_height,1
[assembly:,1
spectal,1
1:,1
TODO:,1
timerSaveProgress,1
